Date,Rate
2008-01-02,383
2008-01-03,383
2008-01-04,376
2008-01-07,377
2008-01-08,371
2008-01-09,376
2008-01-10,378
2008-01-11,374
2008-01-14,377
2008-01-15,369
2008-01-16,366
2008-01-17,353
2008-01-18,350
2008-01-22,344
2008-01-23,355
2008-01-24,360
2008-01-25,352
2008-01-28,360
2008-01-29,363
2008-01-30,361
2008-01-31,368
2008-02-01,372
2008-02-04,369
2008-02-05,354
2008-02-06,350
2008-02-07,354
2008-02-08,352
2008-02-11,355
2008-02-12,359
2008-02-13,365
2008-02-14,359
2008-02-15,359
2008-02-19,359
2008-02-20,362
2008-02-21,356
2008-02-22,360
2008-02-25,366
2008-02-26,369
2008-02-27,368
2008-02-28,365
2008-02-29,352
2008-03-03,352
2008-03-04,351
2008-03-05,353
2008-03-06,341
2008-03-07,336
2008-03-10,327
2008-03-11,348
2008-03-12,343
2008-03-13,346
2008-03-14,334
2008-03-17,328
2008-03-18,352
2008-03-19,339
2008-03-20,352
2008-03-24,359
2008-03-25,360
2008-03-26,356
2008-03-27,350
2008-03-28,346
2008-03-31,349
2008-04-01,365
2008-04-02,365
2008-04-03,365
2008-04-04,366
2008-04-07,366
2008-04-08,364
2008-04-09,361
2008-04-10,363
2008-04-11,353
2008-04-14,351
2008-04-15,353
2008-04-16,364
2008-04-17,364
2008-04-18,371
2008-04-21,371
2008-04-22,367
2008-04-23,368
2008-04-24,371
2008-04-25,373
2008-04-28,373
2008-04-29,371
2008-04-30,370
2008-05-01,376
2008-05-02,377
2008-05-05,375
2008-05-06,378
2008-05-07,372
2008-05-08,373
2008-05-09,371
2008-05-12,374
2008-05-13,374
2008-05-14,376
2008-05-15,379
2008-05-16,379
2008-05-19,379
2008-05-20,377
2008-05-21,371
2008-05-22,372
2008-05-23,367
2008-05-27,370
2008-05-28,371
2008-05-29,373
2008-05-30,374
2008-06-02,370
2008-06-03,368
2008-06-04,368
2008-06-05,375
2008-06-06,363
2008-06-09,363
2008-06-10,362
2008-06-11,354
2008-06-12,355
2008-06-13,362
2008-06-16,362
2008-06-17,359
2008-06-18,355
2008-06-19,357
2008-06-20,347
2008-06-23,347
2008-06-24,346
2008-06-25,349
2008-06-26,332
2008-06-27,329
2008-06-30,330
2008-07-01,332
2008-07-02,320
2008-07-03,321
2008-07-07,315
2008-07-08,327
2008-07-09,311
2008-07-10,316
2008-07-11,308
2008-07-14,302
2008-07-15,293
2008-07-16,312
2008-07-17,320
2008-07-18,320
2008-07-21,320
2008-07-22,328
2008-07-23,331
2008-07-24,316
2008-07-25,318
2008-07-28,305
2008-07-29,321
2008-07-30,332
2008-07-31,324
2008-08-01,320
2008-08-04,314
2008-08-05,332
2008-08-06,334
2008-08-07,323
2008-08-08,338
2008-08-11,342
2008-08-12,335
2008-08-13,333
2008-08-14,336
2008-08-15,339
2008-08-18,329
2008-08-19,323
2008-08-20,327
2008-08-21,329
2008-08-22,336
2008-08-25,323
2008-08-26,326
2008-08-27,331
2008-08-28,340
2008-08-29,331
2008-09-02,329
2008-09-03,327
2008-09-04,307
2008-09-05,310
2008-09-08,324
2008-09-09,299
2008-09-10,304
2008-09-11,314
